,co2_per_capita,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,other_industry_co2,oil_co2_per_capita
14713,8.932,0.143,2.56,3.692,21.711,2.287
14714,8.963,0.133,2.55,3.741,20.47,2.282
14715,9.051,0.135,2.417,3.874,20.794,2.342
14716,9.286,0.134,2.496,4.088,22.207,2.249
14717,9.213,0.136,2.444,3.969,21.206,2.293
14718,8.83,0.14,2.287,3.865,20.795,2.183
14719,9.229,0.149,2.355,4.187,21.369,2.175
14720,8.818,0.153,2.073,3.986,21.406,2.236
14920,9.063,0.21,3.686,1.415,43.356,3.598
14921,8.737,0.206,3.429,1.361,40.313,3.595
14922,8.552,0.192,3.275,1.379,40.269,3.56
14923,8.487,0.204,3.219,1.376,41.646,3.541
14924,8.582,0.212,3.174,1.476,43.357,3.568
14925,8.77,0.205,3.165,1.596,42.058,3.656
14926,8.602,0.209,3.045,1.563,43.036,3.632
14927,8.569,0.213,2.912,1.6,43.253,3.692
14928,8.429,0.216,2.768,1.649,43.039,3.646
14929,8.442,0.219,2.829,1.688,43.825,3.554
14930,8.559,0.213,2.814,1.742,43.615,3.642
14931,8.541,0.21,2.821,1.751,43.769,3.609
14932,8.711,0.213,2.89,1.834,44.114,3.622
14933,8.707,0.222,2.87,1.87,45.21,3.594
14934,8.633,0.222,2.776,1.915,44.616,3.569
14935,8.627,0.228,2.808,1.911,45.339,3.523
14937,8.284,0.22,2.631,1.932,43.997,3.35
14938,7.589,0.179,2.312,1.803,35.787,3.168
14939,7.801,0.175,2.429,1.943,38.317,3.119
14940,7.557,0.172,2.469,1.792,40.036,2.984
14941,7.381,0.162,2.459,1.751,37.876,2.875
14942,7.193,0.153,2.389,1.701,38.003,2.811
14943,6.877,0.16,2.3,1.513,38.191,2.768
14944,6.986,0.159,2.288,1.582,37.513,2.823
14945,6.99,0.158,2.173,1.671,37.625,2.854
14946,7.031,0.163,2.138,1.732,38.068,2.862
14947,6.856,0.166,2.024,1.697,38.784,2.832
14948,6.526,0.165,1.661,1.742,37.064,2.827
14949,5.906,0.158,1.373,1.696,34.763,2.558
14950,6.304,0.163,1.558,1.778,37.9,2.681
14951,6.174,0.16,1.59,1.534,37.953,2.765
15194,8.928,0.192,3.513,1.453,43.769,3.62
15195,8.732,0.181,3.314,1.5,43.282,3.589
15196,8.661,0.193,3.239,1.513,45.302,3.564
15211,7.633,0.164,2.252,1.954,39.135,3.134
15212,7.845,0.161,2.36,2.103,41.885,3.087
15213,7.54,0.158,2.391,1.901,43.755,2.951
15214,7.413,0.149,2.441,1.843,41.449,2.849
15215,7.223,0.142,2.367,1.797,41.534,2.781
15216,6.864,0.148,2.233,1.604,41.911,2.742
15217,6.921,0.147,2.174,1.67,40.719,2.797
15218,6.873,0.147,1.987,1.781,40.446,2.827
15219,6.879,0.15,1.938,1.825,41.047,2.834
15220,6.707,0.153,1.826,1.793,41.821,2.802
15221,6.387,0.152,1.492,1.826,40.256,2.788
15222,5.77,0.145,1.238,1.766,37.473,2.504
15223,6.155,0.15,1.401,1.856,40.68,2.627
15224,5.984,0.147,1.42,1.599,40.502,2.699
15710,11.414,0.146,4.438,1.033,1.131,5.547
15711,11.007,0.113,4.266,1.074,0.936,5.347
15712,10.762,0.094,4.101,1.106,0.775,5.286
15713,11.115,0.071,4.619,1.149,0.968,5.054
15714,12.132,0.071,5.423,1.237,1.007,5.189
15715,11.378,0.074,4.827,1.274,0.905,5.01
15716,12.495,0.074,5.807,1.325,1.01,5.079
15717,12.198,0.088,5.544,1.293,0.984,5.061
15718,11.517,0.087,4.602,1.473,0.96,5.156
15719,11.396,0.093,4.459,1.466,1.004,5.173
15720,11.014,0.098,4.247,1.491,0.926,4.988
15721,12.05,0.097,5.036,1.617,1.0,5.097
15722,12.506,0.093,5.443,1.604,1.046,5.154
15723,13.937,0.09,6.717,1.771,0.963,5.165
15724,13.186,0.101,6.052,1.696,0.936,5.147
15725,10.874,0.103,4.009,1.548,0.924,5.024
15726,12.983,0.109,5.997,1.65,1.017,5.023
15727,12.623,0.114,5.738,1.535,0.965,5.038
15728,11.033,0.117,4.455,1.573,0.933,4.694
15729,10.472,0.072,4.288,1.405,0.862,4.531
15730,11.948,0.098,5.433,1.542,0.919,4.685
15731,10.512,0.104,4.469,1.346,0.899,4.41
15732,9.447,0.092,3.619,1.194,0.825,4.372
15733,9.508,0.089,3.927,1.115,0.894,4.199
15734,8.719,0.086,3.538,0.987,0.808,3.944
15735,8.064,0.084,3.073,0.862,0.669,3.902
15736,8.598,0.101,3.395,0.766,0.787,4.174
15737,8.107,0.11,3.102,0.706,0.718,4.033
15738,8.291,0.109,3.249,0.8,0.661,3.997
15739,7.689,0.106,2.763,0.781,0.577,3.923
